index,answer
index_0,18
index_1,25
index_2,17
index_3,19
index_4,30
index_5,29
index_6,17
index_7,22
index_8,38
index_9,12
index_10,28
index_11,26
index_12,32
index_13,23
index_14,16
index_15,41
index_16,36
index_17,9
index_18,12
index_19,19
index_20,26
index_21,9
index_22,6
index_23,15
index_24,22
index_25,24
index_26,16
index_27,35
index_28,25
index_29,19
index_30,10
index_31,13
index_32,29
index_33,6
index_34,7
index_35,11
index_36,11
index_37,19
index_38,12
index_39,6
index_40,16
index_41,9
index_42,11
index_43,10
index_44,12
index_45,11
index_46,7
index_47,5
index_48,6
index_49,8
index_50,2
index_51,3
index_52,4
index_53,5
index_54,7
index_55,3
index_56,5
index_57,2
index_58,7
index_59,11
index_60,12
index_61,7
index_62,9
index_63,2
index_64,8
index_65,12
index_66,5
index_67,12
index_68,10
index_69,5
index_70,5
index_71,14
index_72,16
index_73,8
index_74,8
index_75,6
index_76,10
index_77,11
index_78,17
index_79,24
index_80,32
index_81,22
index_82,21
index_83,14
index_84,14
index_85,8
index_86,7
index_87,14
index_88,13
index_89,9
index_90,18
index_91,18
index_92,8
index_93,5
index_94,14
index_95,5
index_96,11
index_97,5
index_98,9
index_99,11
index_100,12
index_101,10
index_102,13
index_103,17
index_104,10
index_105,16
index_106,14
index_107,11
index_108,8
index_109,14
index_110,5
index_111,8
index_112,7
index_113,33
index_114,6
index_115,19
index_116,18
index_117,15
index_118,6
index_119,12
index_120,8
index_121,19
index_122,27
index_123,20
index_124,42
index_125,15
index_126,14
index_127,20
index_128,34
index_129,13
index_130,14
index_131,15
index_132,12
index_133,28
index_134,39
index_135,45
index_136,19
index_137,15
index_138,22
index_139,38
index_140,11
index_141,11
index_142,25
index_143,35
index_144,15
index_145,24
index_146,13
index_147,30
index_148,22
index_149,34
index_150,41
index_151,19
index_152,29
index_153,12
index_154,3
index_155,16
index_156,8
index_157,10
index_158,7
index_159,14
index_160,17
index_161,4
index_162,10
index_163,25
index_164,9
index_165,10
index_166,13
index_167,9
index_168,6
index_169,8
index_170,4
index_171,7
index_172,2
index_173,3
index_174,6
index_175,4
index_176,11
index_177,8
index_178,9
index_179,3
index_180,8
index_181,6
index_182,6
index_183,2
index_184,5
index_185,7
index_186,9
index_187,14
index_188,13
index_189,13
index_190,18
index_191,11
index_192,8
index_193,7
index_194,11
index_195,10
index_196,10
index_197,9
index_198,12
index_199,19
index_200,12
index_201,18
index_202,13
index_203,21
index_204,36
index_205,7
index_206,23
index_207,8
index_208,14
index_209,9
index_210,7
index_211,18
index_212,23
index_213,25
index_214,1
index_215,8
index_216,7
index_217,8
index_218,9
index_219,12
index_220,15
index_221,13
index_222,14
index_223,9
index_224,18
index_225,19
index_226,15
index_227,11
index_228,5
index_229,6
index_230,2
index_231,9
index_232,30
index_233,3
index_234,18
index_235,20
index_236,16
index_237,9
index_238,11
index_239,11
index_240,12
index_241,13
index_242,31
index_243,8
